Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,City,Kind,Postal code,Public name,Station type,Status,year,month,day,hour,minute
4 Avenue Secr̩tan,0,0,0,0,Paris,STATION,75019,Paris/Secr̩tan/4,station,ok,2018,4,7,10,55
12 rue Armengaud,1,1,0,0,Saint-Cloud,STATION,92220,Saint-Cloud/Armengaud/12,station,ok,2018,4,4,15,57
16 rue de l'Arriv̩e,0,0,0,0,Paris,STATION,75015,Paris/Arriv̩e/16,station,ok,2018,4,9,1,13
51 Rue Eug̬ne Oudin̩,2,2,0,0,Paris,STATION,75013,Paris/Eug̬ne Oudin̩/51,station,ok,2018,4,9,18,9
38 avenue des Ternes,6,6,0,0,Paris,PARKING,75017,Paris/Ternes/Parking,station,ok,2018,4,3,6,8
1 place de Finlande,4,4,0,0,Colombes,STATION,92700,Colombes/Finlande/1,station,ok,2018,4,5,3,58
56 avenue du Mar̩chal de Lattre de Tassigny,1,1,0,0,Cr̩teil,STATION,94000,Cr̩teil/Mar̩chal de Lattre de Tassigny/56,station,ok,2018,4,9,21,43
3 Rue Henard,2,2,0,1,Paris,STATION,75012,Paris/Henard/3,station,ok,2018,4,5,3,56
16 Rue Charles de Gaulle,2,2,0,0,Alfortville,STATION,94140,Alfortville/Charles de Gaulle/16,station,ok,2018,4,1,0,36
65 avenue Philippe Auguste,3,3,0,0,Paris,STATION,75011,Paris/Philippe Auguste/65,station,ok,2018,4,3,6,3
1 Rue Georges Corete,0,0,0,0,Gennevilliers,SPACE,92230,Gennevilliers/Georges Corete/1,full_station,closed,2018,4,4,14,45
6 place du Pr̩sident Mithouard,6,6,0,0,Paris,STATION,75007,Paris/Mithouard/6,station,ok,2018,4,7,15,48
16 avenue du G̩n̩ral Malleret,5,5,0,0,Alfortville,SPACE,94140,Alfortville/Malleret/16,full_station,ok,2018,4,9,21,6
8 avenue de Choisy,1,1,0,0,Paris,STATION,75013,Paris/Choisy/8,station,ok,2018,4,2,2,41
92 Rue des Orteaux,3,3,0,0,Paris,STATION,75020,Paris/Orteaux/92,station,ok,2018,4,6,8,35
38 ter rue du Mont Val̩rien,0,0,0,0,Saint-Cloud,STATION,92210,Saint-Cloud/Mont Val̩rien/38,station,ok,2018,4,4,18,39
46 rue de Turenne,0,0,0,0,Paris,STATION,75003,Paris/Turenne/46,station,ok,2018,4,3,17,2
231 rue des Pyr̩n̩es,1,1,0,0,Paris,STATION,75020,Paris/Pyr̩n̩es/231,station,ok,2018,4,1,12,44
120 boulevard Auguste Blanqui,6,6,0,0,Paris,STATION,75013,Paris/Auguste Blanqui/120,station,ok,2018,4,2,2,57
